longitude,latitude,t2m,R,G,B
45.90999984741211,5.71999979019165,291.9101636363637,241,197,55
45.90999984741211,5.96999979019165,291.6463248484849,241,197,55
45.90999984741211,6.21999979019165,289.8432748484848,177,247,58
45.90999984741211,6.46999979019165,287.7583118181819,74,247,130
45.90999984741211,6.71999979019165,285.25553666666656,32,204,213
45.90999984741211,6.96999979019165,283.99879606060614,68,132,245
45.90999984741211,7.21999979019165,283.18957272727266,68,132,245
45.90999984741211,7.46999979019165,282.3195866666665,58,49,126
45.90999984741211,7.71999979019165,282.57375757575755,58,49,126
45.90999984741211,7.96999979019165,284.42645030303026,68,132,245
45.90999984741211,8.220000267028809,288.8859251515151,74,247,130
45.90999984741211,8.470000267028809,292.2833451515152,241,197,55
45.90999984741211,8.720000267028809,293.8647866666667,248,118,29
45.90999984741211,8.970000267028809,293.724213030303,248,118,29
45.90999984741211,9.220000267028807,292.82442333333324,241,197,55
45.90999984741211,9.470000267028807,291.96236333333337,241,197,55
45.90999984741211,9.720000267028807,290.315836969697,177,247,58
45.90999984741211,9.970000267028807,289.4968060606061,177,247,58
45.90999984741211,10.220000267028807,288.8725748484849,74,247,130
45.90999984741211,10.470000267028807,288.68769363636363,74,247,130
45.90999984741211,10.720000267028807,290.1171045454545,177,247,58
45.90999984741211,10.970000267028807,291.1173851515152,241,197,55
45.90999984741211,11.220000267028807,291.66114242424237,241,197,55
45.90999984741211,11.470000267028807,291.3341966666667,241,197,55
45.90999984741211,11.720000267028807,291.24629393939387,241,197,55
45.90999984741211,11.970000267028807,293.22002939393946,248,118,29
46.15999984741211,0.9700000286102296,292.23460787878787,241,197,55
46.15999984741211,1.2200000286102295,291.9000766666667,241,197,55
46.15999984741211,1.4700000286102295,291.6213239393939,241,197,55
46.15999984741211,1.7200000286102295,291.22481484848487,241,197,55
46.15999984741211,1.9700000286102293,291.18210363636365,241,197,55
46.15999984741211,2.220000028610229,291.3242654545455,241,197,55
46.15999984741211,2.470000028610229,291.2549615151515,241,197,55
46.15999984741211,2.720000028610229,291.33301212121205,241,197,55
46.15999984741211,2.970000028610228,291.69894878787875,241,197,55
46.15999984741211,3.220000028610228,292.2484048484848,241,197,55
46.15999984741211,3.470000028610228,292.4037227272727,241,197,55
46.15999984741211,3.7200000286102295,292.0386309090909,241,197,55
46.15999984741211,3.9700000286102295,292.276123939394,241,197,55
46.15999984741211,4.2199997901916495,292.43886000000003,241,197,55
46.15999984741211,4.46999979019165,292.39378969696975,241,197,55
46.15999984741211,4.71999979019165,293.1948624242424,248,118,29
46.15999984741211,4.96999979019165,293.77784696969707,248,118,29
46.15999984741211,5.21999979019165,293.9367296969696,248,118,29
46.15999984741211,5.46999979019165,292.37757939393936,241,197,55
46.15999984741211,5.71999979019165,291.38825333333335,241,197,55
46.15999984741211,5.96999979019165,291.17463393939386,241,197,55
46.15999984741211,6.21999979019165,290.3173193939394,177,247,58
46.15999984741211,6.46999979019165,289.0505724242424,177,247,58
46.15999984741211,6.71999979019165,286.9267587878788,32,204,213
46.15999984741211,6.96999979019165,285.70027999999996,32,204,213
46.15999984741211,7.21999979019165,284.73244242424244,68,132,245
46.15999984741211,7.46999979019165,283.7085469696968,68,132,245
46.15999984741211,7.71999979019165,283.0453303030303,68,132,245
46.15999984741211,7.96999979019165,283.4520945454545,68,132,245
46.15999984741211,8.220000267028809,286.1544630303029,32,204,213
46.15999984741211,8.470000267028809,288.39268606060614,74,247,130
46.15999984741211,8.720000267028809,289.95237000000003,177,247,58
46.15999984741211,8.970000267028809,290.3260369696971,177,247,58
46.15999984741211,9.220000267028807,289.6261045454546,177,247,58
46.15999984741211,9.470000267028807,288.7210596969697,74,247,130
46.15999984741211,9.720000267028807,287.27370060606063,74,247,130
46.15999984741211,9.970000267028807,286.73415848484854,32,204,213
46.15999984741211,10.220000267028807,285.8966078787879,32,204,213
46.15999984741211,10.470000267028807,284.8834090909092,68,132,245
46.15999984741211,10.720000267028807,286.6702478787879,32,204,213
46.15999984741211,10.970000267028807,288.9114506060605,74,247,130
46.15999984741211,11.220000267028807,290.75921787878787,177,247,58
46.15999984741211,11.470000267028807,289.0062112121211,177,247,58
46.15999984741211,11.720000267028807,287.98663484848487,74,247,130
46.15999984741211,11.970000267028807,288.33255636363634,74,247,130
46.40999984741211,0.9700000286102296,292.61378696969695,241,197,55
46.40999984741211,1.2200000286102295,292.48474454545465,241,197,55
46.40999984741211,1.4700000286102295,292.2444324242425,241,197,55
46.40999984741211,1.7200000286102295,291.90492090909083,241,197,55
46.40999984741211,1.9700000286102293,291.825473939394,241,197,55
46.40999984741211,2.220000028610229,291.96804333333336,241,197,55
46.40999984741211,2.470000028610229,292.10005848484855,241,197,55
46.40999984741211,2.720000028610229,292.20208696969695,241,197,55
46.40999984741211,2.970000028610228,292.26811727272724,241,197,55
46.40999984741211,3.220000028610228,292.62753484848486,241,197,55
46.40999984741211,3.470000028610228,292.8776472727273,241,197,55
46.40999984741211,3.7200000286102295,292.9939260606061,241,197,55
46.40999984741211,3.9700000286102295,292.9714627272727,241,197,55
46.40999984741211,4.2199997901916495,292.8652512121212,241,197,55
